"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2018,21,138076491
2018,22,133626932
2018,21,133606035
2018,22,133623808
2018,21,133626923
2018,21,133623810
2018,22,133623825
2018,22,133626941
2018,22,133626945
2018,21,133623851
2018,22,133626979
2018,21,133626984
2018,22,133623883
2018,21,133623905
2018,21,133623904
2018,21,133623907
2018,21,133627033
2018,21,137364456
2018,21,137364455
2018,21,137373905
2018,21,138081764
2018,21,137352188
2018,21,137356945
2018,22,133626922
2018,22,133626926
2018,21,133623818
2018,21,133606061
2018,22,133626947
2018,21,133623864
2018,21,133623876
2018,22,133631138
2018,21,133627031
2018,22,138987554
2018,21,138091455
2018,21,138091842
2018,21,138091852
2018,21,138082032
2018,21,138076953
2018,21,137352624
2018,21,137353143
2018,21,137359498
2018,22,137359559
2018,22,137353415
2018,21,137359581
2018,21,137359603
2018,21,137359626
2018,22,133626927
2018,21,133606051
2018,21,133623844
2018,21,133606078
2018,21,133606089
2018,21,133626978
2018,21,133623875
2018,21,137356896
2018,21,137352189
2018,21,137359049
2018,21,137359090
2018,21,137359503
2018,21,137359516
2018,21,137359540
2018,21,137359539
2018,21,137359563
2018,22,137353419
2018,21,137359618
2018,21,137353439
2018,21,137359624
2018,22,133606030
2018,22,133626933
2018,21,133606038
2018,22,133623828
2018,21,133623842
2018,21,133606081
2018,21,133626973
2018,22,133627000
2018,22,133606126
2018,22,133623895
2018,21,133623908
2018,21,133623918
2018,21,133631158
2018,21,133627029
2018,21,137370667
2018,21,138081763
2018,21,138081766
2018,21,138082023
2018,21,138076940
2018,21,137370610
2018,21,137364468
2018,21,137373907
2018,21,133623836
2018,22,133626946
2018,21,133606067
2018,21,133623852
2018,21,133626968
2018,22,133606103
2018,21,133623872
2018,21,133626992
2018,22,133606119
2018,22,133606130
2018,22,133623894
2018,21,133627017
2018,21,133631150
2018,22,133631166
2018,22,133623930
2018,21,140977986
2018,21,137359041
2018,21,137359056
2018,22,137359507
2018,21,137353403
2018,21,137359549
2018,21,137359583
2018,21,137359594
2018,22,137359604
2018,21,137359621
2018,21,137359649
2018,21,137353457
2018,21,137352170
2018,21,137356904
2018,22,137353359
2018,22,137353358
2018,21,137353386
2018,21,137353387
2018,21,137359508
2018,21,137359562
2018,21,137353421
2018,21,137353426
2018,21,137353444
2018,21,137353447
2018,21,137359653
2018,22,137359510
2018,21,137359546
2018,21,137359545
2018,21,137359570
2018,21,137359605
2018,21,137359622
2018,21,137359632
2018,21,137373889
2018,21,137364457
2018,21,137364458
2018,21,137373904
2018,21,137364452
2018,21,137370608
2018,22,138987842
2018,22,137364386
2018,21,138987283
2018,21,137373896
2018,21,137373897
2018,21,137373901
2018,21,137373911
2018,21,137359153
2018,22,137359442
2018,21,137359552
2018,22,137359564
2018,21,137361394
2018,22,137353438
2018,21,137359636
2018,21,137353446
2018,21,137359637
2018,21,137359658
2018,21,137364467
2018,21,137373985
2018,21,137370726
2018,22,137374159
2018,21,138986890
2018,21,138981928
2018,21,138987169
2018,21,137356845
2018,21,137356848
2018,21,137353410
2018,21,137359578
2018,22,137361395
2018,21,137353132
2018,21,137353356
2018,21,137353375
2018,21,137359496
2018,21,137353391
2018,21,137353406
2018,21,137353407
2018,21,137359553
2018,21,137359652
2018,21,137359704
2018,21,137359060
2018,22,137359514
2018,21,137359542
2018,21,137359588
2018,21,137353453
2018,21,137359662
2018,21,137364459
2018,21,137364464
2018,21,137373774
2018,21,138987834
2018,21,137364454
2018,21,137364453
2018,21,138991913
2018,21,138987288
2018,21,137353020
2018,10,137359456
2018,21,137359505
2018,21,137359531
2018,21,137353409
2018,21,137353413
2018,21,137359575
2018,21,137353423
2018,21,137359601
2018,21,137353435
2018,21,137353437
2018,21,137353445
2018,21,137373895
2018,21,137370609
2018,21,137364609
2018,21,138981930
2018,21,137357000
2018,21,137356998
2018,21,137353394
2018,21,137359529
2018,21,137359543
2018,21,137359569
2018,21,137359587
2018,21,137359597
2018,22,137359608
2018,21,137359617
2018,22,137359629
2018,21,137359642
2018,21,137373903
2018,22,133623804
2018,21,133626935
2018,22,133606063
2018,21,133626960
2018,21,133606088
2018,21,133623865
2018,21,133606105
2018,22,133606109
2018,22,133626993
2018,22,133627004
2018,21,133623901
2018,22,133626929
2018,22,133623822
2018,22,133623837
2018,22,133606062
2018,21,133626965
2018,21,133626975
2018,21,133623867
2018,21,133606098
2018,22,133626980
2018,21,133626988
2018,22,133626999
2018,22,133623891
2018,22,133606131
2018,21,133623909
2018,21,133631152
2018,21,133631151
2018,22,133627034
2018,22,133606043
2018,22,133606054
2018,21,133626951
2018,21,133623848
2018,21,133606073
2018,21,133606079
2018,22,133606117
2018,22,133606127
2018,22,133627009
2018,21,133627022
2018,21,133627021
2018,21,133623924
2018,21,138986904
2018,22,133623796
2018,22,133623802
2018,21,133623815
2018,21,133623841
2018,21,133606065
2018,21,133623849
2018,21,133606096
2018,22,133623879
2018,22,133606114
2018,22,133606121
2018,22,133606134
2018,21,133627039
2018,21,133606027
2018,22,133623820
2018,21,133626959
2018,22,133626966
2018,21,133606087
2018,22,133623878
2018,22,133627028
2018,21,133626924
2018,21,133606036
2018,22,133626937
2018,21,133623811
2018,21,133626948
2018,21,133606082
2018,21,133606086
2018,22,133606115
2018,22,133627005
2018,22,133631139
2018,21,133631159
2018,22,133627032
2018,22,133631167
2018,22,133627043
2018,21,137364451
2018,21,137364460
2018,21,138987887
2018,21,138992827
2018,21,138081433
2018,21,138076738
2018,21,138091451
2018,21,138091452
2018,21,138091450
2018,21,138081772
2018,21,138091463
2018,21,138091462
2018,21,138076743
2018,21,138081753
2018,21,138091480
2018,21,133623800
2018,21,133623826
2018,22,133606050
2018,21,133623846
2018,21,133623854
2018,21,133623856
2018,21,133606091
2018,21,133606104
2018,22,133627013
2018,21,133623906
2018,21,133626925
2018,22,133626930
2018,22,133623806
2018,22,133623817
2018,22,133623829
2018,21,133606056
2018,21,133626961
2018,21,133606085
2018,21,133626969
2018,21,133626985
2018,22,133626996
2018,22,133606128
2018,22,133623896
2018,22,133623899
2018,21,133627019
2018,21,133627023
2018,21,133623926
2018,22,133623929
2018,21,133606023
2018,21,133623794
2018,22,133606031
2018,21,133623799
2018,22,133626928
2018,22,133606033
2018,21,133606034
2018,22,133623813
2018,22,133606047
2018,22,133623824
2018,22,133606048
2018,22,133623833
2018,21,133623834
2018,22,133606052
2018,21,133626943
2018,22,133606057
2018,22,133606058
2018,22,133606059
2018,21,133606066
2018,21,133623845
2018,21,133606069
2018,21,133626952
2018,21,133626956
2018,21,133606072
2018,21,133626958
2018,21,133626962
2018,21,133606077
2018,21,133623855
2018,21,133606083
2018,21,133623857
2018,21,133626967
2018,21,133626972
2018,21,133623863
2018,21,133606092
2018,21,133623869
2018,21,133606097
2018,22,133606101
2018,22,133606102
2018,21,133626981
2018,22,133606108
2018,22,133606112
2018,22,133606110
2018,22,133626995
2018,22,133606116
2018,22,133606118
2018,22,133623884
2018,22,133623889
2018,22,133623890
2018,22,133606123
2018,22,133606129
2018,22,133623892
2018,22,133606135
2018,22,133623893
2018,22,133627010
2018,22,133623897
2018,21,133631142
2018,21,133631144
2018,21,133623915
2018,21,133623916
2018,21,133631149
2018,21,133627025
2018,21,133631155
2018,22,133627030
2018,22,133631162
2018,22,133623927
2018,22,133627036
2018,22,133631168
2018,22,133627041
2018,22,133623932
2018,21,133623931
2018,21,137373776
2018,21,137373899
2018,21,137370612
2018,21,137373893
2018,21,137364480
2018,21,137370690
2018,22,137370600
2018,21,137370607
2018,21,137373906
2018,22,133606029
2018,21,133623805
2018,22,133623831
2018,22,133623839
2018,21,133606064
2018,21,133626953
2018,21,133623859
2018,21,133606095
2018,21,133606099
2018,22,133623873
2018,22,133606133
2018,22,133606137
2018,22,133631141
2018,22,133623914
2018,21,133606025
2018,21,133606024
2018,22,133606032
2018,22,133626939
2018,21,133623843
2018,21,133623853
2018,21,133623868
2018,21,133626986
2018,22,133623886
2018,22,133606136
2018,21,133627026
2018,21,133623920
2018,21,133623792
2018,22,133606039
2018,22,133626938
2018,22,133623812
2018,22,133626942
2018,21,133606094
2018,22,133623900
2018,21,133631157
2018,21,133631156
2018,22,133627038
2018,21,133623798
2018,21,133626954
2018,21,133626955
2018,21,133606090
2018,22,133626987
2018,22,133626998
2018,22,133623885
2018,22,133606120
2018,21,133623911
2018,21,133623922
2018,22,133631165
2018,22,133627042
2018,21,133626934
2018,21,133623823
2018,22,133606055
2018,21,133606068
2018,21,133606074
2018,21,133606093
2018,22,133623880
2018,22,133631140
2018,21,133623917
2018,22,133623921
2018,22,133627037
2018,22,133606028
2018,22,133623816
2018,22,133606046
2018,22,133623821
2018,21,133623835
2018,22,133606060
2018,22,133626944
2018,21,133606070
2018,22,133626957
2018,21,133626970
2018,21,133626976
2018,22,133626982
2018,22,133626983
2018,22,133606106
2018,21,133626990
2018,21,133626989
2018,22,133626994
2018,22,133627012
2018,21,133627016
2018,22,133623912
2018,22,133631153
2018,22,133627024
2018,22,133623925
2018,21,133627035
2018,21,133631164
2018,22,137352438
2018,21,137356897
2018,22,137352564
2018,21,137359063
2018,21,137353390
2018,22,137353393
2018,21,137359535
2018,21,137359560
2018,22,137359577
2018,21,137359586
2018,22,137359612
2018,22,137359643
2018,21,137353460
2018,21,142141196
2018,21,142051121
2018,21,142051132
2018,21,142143101
2018,21,142143042
2018,21,142051133
2018,21,138987285
2018,21,138987284
2018,21,138991916
2018,21,138991915
2018,21,138981926
2018,21,142143033
2018,21,142143106
2018,21,137370606
2018,21,137370611
2018,21,138982691
2018,21,142140897
2018,21,137373888
2018,21,137364461
2018,21,137374098
2018,21,142143099
2018,21,138991567
2018,21,142141197
2018,21,137359526
2018,21,137353418
2018,21,137359572
2018,21,137359585
2018,21,137359595
2018,21,137353432
2018,22,137359628
2018,21,137359641
2018,21,137353456
2018,21,138991921
2018,21,138987892
2018,21,138987287
2018,21,138081742
2018,21,138081744
2018,21,133623795
2018,21,133623801
2018,22,133606037
2018,22,133606044
2018,22,133623840
2018,21,133626963
2018,21,133626971
2018,21,133606100
2018,22,133627003
2018,22,133627011
2018,21,133627018
2018,22,133631169
2018,21,138081429
2018,21,137373894
2018,21,137370539
2018,22,137373809
2018,21,137373900
2018,21,137364466
2018,22,133626931
2018,22,133623809
2018,22,133623814
2018,21,133606080
2018,21,133623861
2018,21,133626977
2018,21,133623870
2018,21,133623874
2018,21,133626991
2018,22,133623887
2018,21,133623903
2018,22,133631146
2018,22,133623910
2018,22,133631147
2018,21,138992818
2018,21,133623797
2018,22,133623881
2018,22,133606132
2018,21,133631143
2018,21,133623919
2018,22,133631160
2018,21,133623928
2018,22,133606026
2018,22,133606040
2018,22,133623819
2018,21,133623832
2018,21,133626949
2018,21,133626964
2018,21,133623860
2018,21,133626974
2018,22,133626997
2018,22,133627006
2018,22,133623898
2018,22,133627015
2018,21,133631148
2018,21,133623793
2018,22,133626936
2018,21,133626940
2018,22,133623838
2018,21,133606071
2018,21,133623862
2018,22,133606111
2018,22,133627002
2018,22,133623888
2018,21,133631145
2018,21,133623923
2018,21,138081756
2018,21,138081761
2018,21,138082011
2018,22,133623807
2018,21,133606045
2018,21,133626950
2018,21,133623866
2018,21,133606107
2018,22,133623877
2018,22,133627001
2018,22,133606124
2018,22,133627007
2018,22,133631161
2018,21,133631163
2018,21,133627044
2018,21,138082100
2018,21,138082116
2018,21,137357084
2018,21,137357082
2018,22,137359445
2018,21,137361389
2018,21,137359517
2018,21,137353408
2018,21,137359561
2018,21,137359573
2018,22,137359630
2018,21,137353443
2018,21,137359655
2018,21,137353454
2018,21,137359715
2018,21,137373891
2018,21,137373898
2018,21,137364463
2018,21,133606041
2018,21,133606042
2018,22,133606049
2018,21,133623847
2018,21,133606075
2018,21,133606084
2018,21,133623858
2018,21,133623871
2018,22,133606113
2018,21,133623902
2018,22,133627027
2018,22,133627040
2018,21,137356837
2018,21,137356847
2018,21,137356908
2018,21,137356959
2018,21,137356961
2018,21,137357029
2018,21,137357045
2018,21,138076892
2018,21,137357170
2018,21,137352552
2018,21,137358035
2018,21,137359052
2018,21,137353181
2018,21,137361377
2018,22,137353357
2018,21,137359448
2018,21,137359488
2018,21,137359491
2018,22,137361392
2018,21,137353385
2018,21,137359497
2018,21,137353395
2018,21,137353397
2018,21,137353396
2018,21,137359513
2018,21,137353398
2018,21,137359515
2018,21,137359518
2018,21,137359519
2018,21,137359522
2018,22,137359528
2018,22,137359527
2018,21,137359534
2018,21,137359536
2018,21,137359547
2018,21,137359555
2018,21,137359556
2018,22,137359554
2018,21,137359550
2018,22,137359565
2018,21,137353417
2018,21,137359571
2018,21,137359576
2018,21,137359574
2018,22,137359584
2018,22,137359582
2018,22,137353420
2018,21,137359591
2018,21,137359590
2018,21,137359598
2018,21,137353425
2018,21,137359600
2018,21,137359602
2018,21,137359596
2018,21,137353429
2018,21,137353427
2018,22,137359610
2018,22,137359615
2018,21,137359616
2018,21,137353434
2018,21,137359625
2018,21,137353440
2018,21,137353441
2018,21,137353442
2018,21,137359631
2018,21,137353449
2018,21,137359639
2018,21,137353450
2018,21,137353452
2018,21,137359647
2018,21,137359657
2018,21,137359660
2018,21,137353458
2018,21,137353455
2018,21,137359664
2018,21,137359666
2018,21,137353484
2018,21,137356922
2018,21,137356836
2018,21,137356957
2018,21,137353392
2018,21,137359511
2018,21,137359525
2018,21,137353405
2018,21,137359544
2018,21,137359566
2018,22,137359567
2018,21,137359580
2018,21,137356967
2018,21,137357091
2018,21,137353355
2018,21,137359500
2018,21,137359512
2018,21,137353414
2018,21,137353416
2018,21,137353428
2018,21,137359620
2018,22,137359659
2018,21,137359599
2018,21,137359606
2018,21,137359609
2018,21,137353436
2018,21,137353448
2018,21,137359638
2018,22,137361396
2018,21,137359648
2018,21,137353462
2018,21,137356833
2018,21,137357151
2018,21,138081751
2018,21,138082101
2018,21,137356940
2018,21,137359439
2018,21,137359521
2018,21,137359537
2018,21,137359548
2018,21,137359568
2018,21,137359613
2018,21,137359619
2018,21,137359646
2018,21,137359645
2018,21,137353459
2018,21,138982642
2018,21,138081747
2018,21,138081765
2018,22,140984279
2018,21,140978080
2018,21,133623803
2018,22,133623827
2018,22,133623830
2018,22,133606053
2018,21,133623850
2018,21,133606076
2018,22,133623882
2018,22,133606125
2018,22,133606122
2018,22,133627008
2018,22,133627014
2018,21,133623913
2018,21,140986661
2018,21,140978173
2018,21,137356172
2018,21,137352187
2018,21,137356909
2018,21,137352201
2018,21,137356995
2018,21,137357030
2018,21,137357072
2018,21,137352595
2018,21,137358428
2018,22,137358492
2018,21,137359053
2018,21,137359057
2018,21,137359055
2018,21,137359058
2018,21,137359160
2018,21,137359172
2018,21,137359443
2018,21,137359440
2018,21,137353380
2018,21,137353382
2018,21,137353388
2018,21,137359501
2018,22,137359502
2018,4,137359504
2018,4,137353389
2018,21,137359506
2018,21,137359493
2018,21,137359495
2018,21,137359494
2018,21,137359509
2018,21,137359520
2018,21,137353399
2018,21,137353400
2018,21,137353401
2018,21,137359523
2018,21,137359524
2018,22,137359530
2018,2,137359532
2018,2,137359533
2018,21,137353404
2018,21,137353402
2018,21,137359541
2018,21,137359538
2018,22,137359551
2018,21,137353411
2018,22,137353412
2018,21,137359558
2018,21,137359557
2018,21,137359579
2018,21,137353422
2018,22,137359589
2018,21,137361393
2018,21,137359593
2018,21,137353424
2018,21,137359592
2018,21,137353431
2018,21,137353430
2018,21,137359607
2018,21,137359611
2018,21,137353433
2018,21,137359614
2018,21,137359623
2018,21,137359627
2018,21,137359634
2018,21,137359635
2018,21,137359633
2018,21,137359640
2018,21,137359644
2018,21,137353451
2018,22,137359654
2018,21,137359651
2018,21,137359650
2018,21,137359656
2018,22,137359661
2018,21,137359679
2018,21,137364540
